sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.18181818181818182,0.68,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.68,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.68,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.12,0.72,0.13090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.68,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.16,0.72,0.13090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.2,0.72,0.13090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.24,0.72,0.13090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.72,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.76,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.64,0.36,0.06545454545454546,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.64,0.36,0.06545454545454546,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.68,0.32,0.05818181818181818,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.68,0.32,0.05818181818181818,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.72,0.28,0.05090909090909092,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.72,0.28,0.05090909090909092,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.76,0.24,0.04363636363636363,0.8,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.76,0.24,0.04363636363636363,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.8,0.2,0.03636363636363637,0.84,0.81,1.0,0.8200000000000001,0.84,No counterfactual,2,11
0.0,0.84,0.15272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.68,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.04,0.84,0.15272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.68,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.08,0.84,0.15272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.68,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.12,0.84,0.15272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.68,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.12,0.88,0.16,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.72,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.76,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.56,0.44,0.08,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.64,0.36,0.06545454545454546,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.64,0.36,0.06545454545454546,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.68,0.32,0.05818181818181818,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.68,0.32,0.05818181818181818,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.72,0.28,0.05090909090909092,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.72,0.28,0.05090909090909092,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.76,0.24,0.04363636363636363,0.8,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.76,0.24,0.04363636363636363,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.8,0.2,0.03636363636363637,0.84,0.8,1.0,0.71,0.84,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.68,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.68,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.68,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.12,0.88,0.16,0.68,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.12,0.88,0.16,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.12,0.88,0.16,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.12,0.88,0.16,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.68,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.32,0.68,0.12363636363636366,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.72,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.36,0.64,0.11636363636363636,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.4,0.6,0.10909090909090909,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.44,0.56,0.10181818181818184,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.48,0.52,0.09454545454545456,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.52,0.48,0.08727272727272727,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.56,0.44,0.08,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.56,0.44,0.08,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.76,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.6,0.4,0.07272727272727274,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.64,0.36,0.06545454545454546,0.8,0.66,1.0,0.8300000000000001,0.8300000000000001,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.64,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.68,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.76,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.64,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.68,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.72,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.76,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.64,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.68,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.72,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.76,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.12,0.88,0.16,0.64,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.12,0.88,0.16,0.68,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.12,0.88,0.16,0.72,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.12,0.88,0.16,0.76,0.14,1.0,0.97,0.79,No counterfactual,2,11
0.0,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.04,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.08,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.08,0.92,0.1672727272727273,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.12,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.12,0.88,0.16,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.12,0.88,0.16,0.8,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.16,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.16,0.84,0.15272727272727274,0.8,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.2,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.76,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.2,0.8,0.14545454545454548,0.8,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.24,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.24,0.76,0.13818181818181818,0.8,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.28,0.68,0.12363636363636366,0.84,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.28,0.72,0.13090909090909092,0.8,0.28,1.0,0.64,0.9,No counterfactual,2,11
0.0,0.96,0.17454545454545453,0.76,0.63,1.0,0.62,0.8300000000000001,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.68,0.63,1.0,0.62,0.8300000000000001,No counterfactual,2,11
0.0,1.0,0.18181818181818182,0.72,0.63,1.0,0.62,0.8300000000000001,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.68,0.63,1.0,0.62,0.8300000000000001,No counterfactual,2,11
0.04,0.96,0.17454545454545453,0.72,0.63,1.0,0.62,0.8300000000000001,No counterfactual,2,11
