sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.2,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.56,0.95,0.14,0.93,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.92,0.55,0.7000000000000001,0.8,0.92,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.92,0.55,0.7000000000000001,0.8,0.92,No counterfactual,7,66
0.16,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.2,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.24,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.28,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.32,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.36,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.4,0.28,0.0296969696969697,0.92,0.41,0.76,0.37,0.92,No counterfactual,7,66
0.08,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.49,0.88,0.5,0.88,No counterfactual,7,66
0.36,0.32,0.03393939393939394,0.92,0.66,0.6,0.35,0.93,No counterfactual,7,66
0.4,0.32,0.03393939393939394,0.92,0.66,0.6,0.35,0.93,No counterfactual,7,66
0.44,0.32,0.03393939393939394,0.92,0.66,0.6,0.35,0.93,No counterfactual,7,66
0.48,0.32,0.03393939393939394,0.92,0.66,0.6,0.35,0.93,No counterfactual,7,66
0.52,0.32,0.03393939393939394,0.92,0.66,0.6,0.35,0.93,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.88,0.59,0.67,0.2,0.93,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.88,0.59,0.67,0.2,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.78,0.98,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.78,0.98,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.78,0.98,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.78,0.98,0.5,0.88,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.78,0.98,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.84,0.85,0.45,0.89,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.84,0.85,0.45,0.89,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.84,0.85,0.45,0.89,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.84,0.85,0.45,0.89,No counterfactual,7,66
0.08,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.12,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.16,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.2,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.24,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.28,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.32,0.24,0.025454545454545455,0.92,0.32,0.79,0.22,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.71,0.64,0.45,0.89,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.71,0.64,0.45,0.89,No counterfactual,7,66
0.04,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.04,0.92,0.09757575757575758,0.84,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.08,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.08,0.88,0.09333333333333334,0.84,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.39,0.94,0.14,0.93,No counterfactual,7,66
0.12,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.16,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.2,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.24,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.28,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.32,0.52,0.05515151515151515,0.92,0.38,0.77,0.7000000000000001,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.63,0.62,0.4,0.9,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.63,0.62,0.4,0.9,No counterfactual,7,66
0.16,0.6,0.06363636363636363,0.88,0.53,0.71,0.21,0.93,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.88,0.53,0.71,0.21,0.93,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.88,0.53,0.71,0.21,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.66,0.6,0.4,0.9,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.56,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.56,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.56,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.12,0.64,0.06787878787878789,0.88,0.39,0.78,0.5700000000000001,0.88,No counterfactual,7,66
0.16,0.64,0.06787878787878789,0.88,0.39,0.78,0.5700000000000001,0.88,No counterfactual,7,66
0.2,0.64,0.06787878787878789,0.88,0.39,0.78,0.5700000000000001,0.88,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.67,0.8300000000000001,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.58,0.7000000000000001,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.58,0.7000000000000001,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.58,0.7000000000000001,0.14,0.93,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.04,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.08,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.8,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.84,0.43,1.0,0.5,0.88,No counterfactual,7,66
0.04,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.04,0.92,0.09757575757575758,0.84,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.08,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.08,0.88,0.09333333333333334,0.84,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.12,0.84,0.0890909090909091,0.84,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.16,0.8,0.08484848484848485,0.84,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.2,0.76,0.08060606060606061,0.84,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.44,0.52,0.05515151515151515,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.48,0.48,0.05090909090909091,0.88,0.49,0.94,0.25,0.92,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.4,0.52,0.05515151515151515,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.44,0.48,0.05090909090909091,0.88,0.55,0.84,0.14,0.93,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.6,0.78,0.4,0.9,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.6,0.78,0.4,0.9,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.6,0.78,0.4,0.9,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.6,0.78,0.4,0.9,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.6,0.78,0.4,0.9,No counterfactual,7,66
0.12,0.64,0.06787878787878789,0.88,0.41,0.77,0.27,0.93,No counterfactual,7,66
0.16,0.64,0.06787878787878789,0.88,0.41,0.77,0.27,0.93,No counterfactual,7,66
0.2,0.64,0.06787878787878789,0.88,0.41,0.77,0.27,0.93,No counterfactual,7,66
0.12,0.76,0.08060606060606061,0.8,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.12,0.76,0.08060606060606061,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.16,0.72,0.07636363636363637,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.2,0.68,0.07212121212121213,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.24,0.64,0.06787878787878789,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.28,0.6,0.06363636363636363,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.36,0.52,0.05515151515151515,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.36,0.52,0.05515151515151515,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.4,0.48,0.05090909090909091,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.4,0.48,0.05090909090909091,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.44,0.44,0.04666666666666667,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.44,0.44,0.04666666666666667,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.48,0.4,0.04242424242424243,0.84,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.48,0.4,0.04242424242424243,0.88,0.51,0.77,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.8300000000000001,0.97,0.14,0.93,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.8300000000000001,0.97,0.14,0.93,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.8300000000000001,0.97,0.14,0.93,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.8300000000000001,0.97,0.14,0.93,No counterfactual,7,66
0.08,0.6,0.06363636363636363,0.88,0.29,0.81,0.53,0.88,No counterfactual,7,66
0.12,0.6,0.06363636363636363,0.88,0.29,0.81,0.53,0.88,No counterfactual,7,66
0.16,0.6,0.06363636363636363,0.88,0.29,0.81,0.53,0.88,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.88,0.29,0.81,0.53,0.88,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.88,0.29,0.81,0.53,0.88,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.12,0.76,0.08060606060606061,0.84,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.36,0.52,0.05515151515151515,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.4,0.48,0.05090909090909091,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.44,0.44,0.04666666666666667,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.48,0.4,0.04242424242424243,0.88,0.48,0.77,0.25,0.92,No counterfactual,7,66
0.12,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.16,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.2,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.24,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.28,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.32,0.24,0.025454545454545455,0.92,0.35,0.79,0.22,0.93,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.76,0.75,0.25,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.76,0.75,0.25,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.76,0.75,0.25,0.92,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.76,0.75,0.25,0.92,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.76,0.75,0.25,0.92,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.59,0.7000000000000001,0.45,0.89,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.59,0.7000000000000001,0.45,0.89,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.59,0.7000000000000001,0.45,0.89,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.62,0.77,0.4,0.9,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.62,0.77,0.4,0.9,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.62,0.77,0.4,0.9,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.62,0.77,0.4,0.9,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.62,0.77,0.4,0.9,No counterfactual,7,66
0.16,0.68,0.07212121212121213,0.88,0.52,0.71,0.5700000000000001,0.89,No counterfactual,7,66
0.2,0.64,0.06787878787878789,0.88,0.58,0.66,0.36,0.92,No counterfactual,7,66
0.24,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.28,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.32,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.36,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.4,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.44,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.48,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.52,0.32,0.03393939393939394,0.92,0.56,0.6900000000000001,0.35,0.93,No counterfactual,7,66
0.36,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.4,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.44,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.48,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.52,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.56,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.6,0.24,0.025454545454545455,0.92,0.6,0.66,0.33,0.92,No counterfactual,7,66
0.16,0.6,0.06363636363636363,0.92,0.52,0.71,0.8,0.92,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.92,0.52,0.71,0.8,0.92,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.92,0.52,0.71,0.8,0.92,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.92,0.38,0.78,0.75,0.92,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.92,0.38,0.78,0.75,0.92,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.92,0.38,0.78,0.75,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.92,0.38,0.78,0.75,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.92,0.38,0.78,0.75,0.92,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.16,0.76,0.08060606060606061,0.84,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.2,0.72,0.07636363636363637,0.84,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.24,0.68,0.07212121212121213,0.84,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.4,0.52,0.05515151515151515,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.44,0.48,0.05090909090909091,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.48,0.44,0.04666666666666667,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.52,0.4,0.04242424242424243,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.56,0.36,0.038181818181818185,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.6,0.32,0.03393939393939394,0.88,0.64,0.8,0.33,0.91,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.67,0.92,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.24,0.64,0.06787878787878789,0.84,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.28,0.6,0.06363636363636363,0.84,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.36,0.52,0.05515151515151515,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.4,0.48,0.05090909090909091,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.44,0.44,0.04666666666666667,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.48,0.4,0.04242424242424243,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.52,0.36,0.038181818181818185,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.56,0.32,0.03393939393939394,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.6,0.28,0.0296969696969697,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.64,0.24,0.025454545454545455,0.88,0.66,0.66,0.4,0.9,No counterfactual,7,66
0.12,0.84,0.0890909090909091,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.16,0.8,0.08484848484848485,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.2,0.76,0.08060606060606061,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.24,0.72,0.07636363636363637,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.28,0.68,0.07212121212121213,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.32,0.64,0.06787878787878789,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.36,0.6,0.06363636363636363,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.44,0.52,0.05515151515151515,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.44,0.52,0.05515151515151515,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.48,0.48,0.05090909090909091,0.84,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.48,0.48,0.05090909090909091,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
0.52,0.44,0.04666666666666667,0.88,0.73,0.87,0.45,0.89,No counterfactual,7,66
