p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.24,0.5700000000000001,0.24,0.91
0.24,0.5700000000000001,0.25,0.91
0.24,0.5700000000000001,0.26,0.91
0.24,0.58,0.04,0.91
0.24,0.58,0.05,0.91
0.24,0.58,0.06,0.91
0.24,0.58,0.07,0.91
0.24,0.58,0.08,0.91
0.24,0.58,0.09,0.91
0.24,0.58,0.1,0.91
0.24,0.58,0.11,0.91
0.24,0.58,0.12,0.91
0.24,0.58,0.13,0.9
0.24,0.58,0.13,0.91
0.24,0.58,0.14,0.9
0.24,0.58,0.14,0.91
0.24,0.58,0.15,0.9
0.24,0.58,0.15,0.91
0.24,0.58,0.16,0.9
0.24,0.58,0.16,0.91
0.24,0.58,0.17,0.9
0.24,0.58,0.17,0.91
0.24,0.58,0.18,0.9
0.24,0.58,0.18,0.91
0.24,0.58,0.19,0.9
0.24,0.58,0.19,0.91
0.24,0.58,0.2,0.9
0.24,0.58,0.2,0.91
0.24,0.58,0.21,0.9
0.24,0.58,0.21,0.91
0.24,0.58,0.22,0.9
0.24,0.58,0.22,0.91
0.24,0.58,0.23,0.9
0.24,0.58,0.23,0.91
0.24,0.58,0.24,0.91
0.24,0.58,0.25,0.91
0.24,0.58,0.26,0.91
0.24,0.59,0.13,0.9
0.24,0.6,0.13,0.9
0.24,0.61,0.13,0.9
0.24,0.62,0.13,0.9
0.24,0.63,0.13,0.9
0.24,0.64,0.13,0.9
0.24,0.65,0.13,0.9
0.24,0.66,0.13,0.9
0.24,0.67,0.13,0.9
0.24,0.68,0.13,0.9
0.24,0.6900000000000001,0.13,0.9
0.24,0.7000000000000001,0.13,0.9
0.24,0.71,0.13,0.9
0.24,0.72,0.13,0.9
0.24,0.73,0.13,0.9
0.24,0.74,0.13,0.9
0.24,0.75,0.13,0.9
0.24,0.76,0.13,0.9
0.24,0.77,0.13,0.9
0.24,0.78,0.13,0.9
0.24,0.79,0.13,0.9
0.24,0.8,0.13,0.9
0.24,0.81,0.13,0.9
0.24,0.8200000000000001,0.13,0.9
0.24,0.8300000000000001,0.13,0.9
0.24,0.84,0.13,0.9
0.24,0.85,0.13,0.9
0.24,0.86,0.13,0.9
0.24,0.87,0.13,0.9
0.24,0.88,0.13,0.9
0.24,0.89,0.13,0.9
0.24,0.9,0.13,0.9
0.24,0.91,0.13,0.9
0.24,0.92,0.13,0.9
0.24,0.93,0.13,0.9
0.24,0.9400000000000001,0.13,0.9
0.24,0.9500000000000001,0.13,0.9
0.24,0.96,0.13,0.9
0.24,0.97,0.13,0.9
0.24,0.98,0.13,0.9
0.24,0.99,0.13,0.9
0.24,1.0,0.13,0.9
0.25,0.5700000000000001,0.04,0.91
0.25,0.5700000000000001,0.05,0.91
0.25,0.5700000000000001,0.06,0.91
0.25,0.5700000000000001,0.07,0.91
0.25,0.5700000000000001,0.08,0.91
0.25,0.5700000000000001,0.09,0.91
0.25,0.5700000000000001,0.1,0.91
0.25,0.5700000000000001,0.11,0.91
0.25,0.5700000000000001,0.12,0.91
0.25,0.5700000000000001,0.13,0.9
0.25,0.5700000000000001,0.13,0.91
0.25,0.5700000000000001,0.14,0.9
0.25,0.5700000000000001,0.14,0.91
0.25,0.5700000000000001,0.15,0.9
0.25,0.5700000000000001,0.15,0.91
0.25,0.5700000000000001,0.16,0.9
0.25,0.5700000000000001,0.16,0.91
0.25,0.5700000000000001,0.17,0.9
0.25,0.5700000000000001,0.17,0.91
0.25,0.5700000000000001,0.18,0.9
0.25,0.5700000000000001,0.18,0.91
0.25,0.5700000000000001,0.19,0.9
0.25,0.5700000000000001,0.19,0.91
0.25,0.5700000000000001,0.2,0.9
0.25,0.5700000000000001,0.2,0.91
0.25,0.5700000000000001,0.21,0.9
0.25,0.5700000000000001,0.21,0.91
0.25,0.5700000000000001,0.22,0.9
0.25,0.5700000000000001,0.22,0.91
0.25,0.5700000000000001,0.23,0.9
0.25,0.5700000000000001,0.23,0.91
0.25,0.5700000000000001,0.24,0.91
0.25,0.5700000000000001,0.25,0.91
0.25,0.5700000000000001,0.26,0.91
0.25,0.58,0.13,0.9
0.25,0.59,0.13,0.9
0.25,0.6,0.13,0.9
0.25,0.61,0.13,0.9
0.25,0.62,0.13,0.9
0.25,0.63,0.13,0.9
0.25,0.64,0.13,0.9
0.25,0.65,0.13,0.9
0.25,0.66,0.13,0.9
0.25,0.67,0.13,0.9
0.25,0.68,0.13,0.9
0.25,0.6900000000000001,0.13,0.9
0.25,0.7000000000000001,0.13,0.9
0.25,0.71,0.13,0.9
0.25,0.72,0.13,0.9
0.25,0.73,0.13,0.9
0.25,0.74,0.13,0.9
0.25,0.75,0.13,0.9
0.25,0.76,0.13,0.9
0.25,0.77,0.13,0.9
0.25,0.78,0.13,0.9
0.25,0.79,0.13,0.9
0.25,0.8,0.13,0.9
0.25,0.81,0.13,0.9
0.25,0.8200000000000001,0.13,0.9
0.25,0.8300000000000001,0.13,0.9
0.25,0.84,0.13,0.9
0.25,0.85,0.13,0.9
0.25,0.86,0.13,0.9
0.25,0.87,0.13,0.9
0.25,0.88,0.13,0.9
0.25,0.89,0.13,0.9
0.25,0.9,0.13,0.9
0.25,0.91,0.13,0.9
0.25,0.92,0.13,0.9
0.25,0.93,0.13,0.9
0.25,0.9400000000000001,0.13,0.9
0.25,0.9500000000000001,0.13,0.9
0.25,0.96,0.13,0.9
0.25,0.97,0.13,0.9
0.25,0.98,0.13,0.9
0.25,0.99,0.13,0.9
0.25,1.0,0.13,0.9
0.26,0.56,0.04,0.91
0.26,0.56,0.05,0.91
0.26,0.56,0.06,0.91
0.26,0.56,0.07,0.91
0.26,0.56,0.08,0.91
0.26,0.56,0.09,0.91
0.26,0.56,0.1,0.91
0.26,0.56,0.11,0.91
0.26,0.56,0.12,0.91
0.26,0.56,0.13,0.9
0.26,0.56,0.13,0.91
0.26,0.56,0.14,0.9
0.26,0.56,0.14,0.91
0.26,0.56,0.15,0.9
0.26,0.56,0.15,0.91
0.26,0.56,0.16,0.9
0.26,0.56,0.16,0.91
0.26,0.56,0.17,0.9
0.26,0.56,0.17,0.91
0.26,0.56,0.18,0.9
0.26,0.56,0.18,0.91
0.26,0.56,0.19,0.9
0.26,0.56,0.19,0.91
0.26,0.56,0.2,0.9
0.26,0.56,0.2,0.91
0.26,0.56,0.21,0.9
0.26,0.56,0.21,0.91
0.26,0.56,0.22,0.9
0.26,0.56,0.22,0.91
0.26,0.56,0.23,0.9
0.26,0.56,0.23,0.91
0.26,0.56,0.24,0.91
0.26,0.56,0.25,0.91
0.26,0.5700000000000001,0.04,0.91
0.26,0.5700000000000001,0.05,0.91
0.26,0.5700000000000001,0.06,0.91
0.26,0.5700000000000001,0.07,0.91
0.26,0.5700000000000001,0.08,0.91
0.26,0.5700000000000001,0.09,0.91
0.26,0.5700000000000001,0.1,0.91
0.26,0.5700000000000001,0.11,0.91
0.26,0.5700000000000001,0.12,0.91
0.26,0.5700000000000001,0.13,0.9
0.26,0.5700000000000001,0.13,0.91
0.26,0.5700000000000001,0.14,0.9
0.26,0.5700000000000001,0.14,0.91
0.26,0.5700000000000001,0.15,0.9
0.26,0.5700000000000001,0.15,0.91
0.26,0.5700000000000001,0.16,0.9
0.26,0.5700000000000001,0.16,0.91
0.26,0.5700000000000001,0.17,0.9
0.26,0.5700000000000001,0.17,0.91
0.26,0.5700000000000001,0.18,0.9
0.26,0.5700000000000001,0.18,0.91
0.26,0.5700000000000001,0.19,0.9
0.26,0.5700000000000001,0.19,0.91
0.26,0.5700000000000001,0.2,0.9
0.26,0.5700000000000001,0.2,0.91
0.26,0.5700000000000001,0.21,0.9
0.26,0.5700000000000001,0.21,0.91
0.26,0.5700000000000001,0.22,0.9
0.26,0.5700000000000001,0.22,0.91
0.26,0.5700000000000001,0.23,0.9
0.26,0.5700000000000001,0.23,0.91
0.26,0.5700000000000001,0.24,0.91
0.26,0.5700000000000001,0.25,0.91
0.26,0.58,0.13,0.9
0.26,0.59,0.13,0.9
0.26,0.6,0.13,0.9
0.26,0.61,0.13,0.9
0.26,0.62,0.13,0.9
0.26,0.63,0.13,0.9
0.26,0.64,0.13,0.9
0.26,0.65,0.13,0.9
0.26,0.66,0.13,0.9
0.26,0.67,0.13,0.9
0.26,0.68,0.13,0.9
0.26,0.6900000000000001,0.13,0.9
0.26,0.7000000000000001,0.13,0.9
0.26,0.71,0.13,0.9
0.26,0.72,0.13,0.9
0.26,0.73,0.13,0.9
0.26,0.74,0.13,0.9
0.26,0.75,0.13,0.9
0.26,0.76,0.13,0.9
0.26,0.77,0.13,0.9
0.26,0.78,0.13,0.9
0.26,0.79,0.13,0.9
0.26,0.8,0.13,0.9
0.26,0.81,0.13,0.9
0.26,0.8200000000000001,0.13,0.9
0.26,0.8300000000000001,0.13,0.9
0.26,0.84,0.13,0.9
0.26,0.85,0.13,0.9
0.26,0.86,0.13,0.9
0.26,0.87,0.13,0.9
0.26,0.88,0.13,0.9
0.26,0.89,0.13,0.9
0.26,0.9,0.13,0.9
0.26,0.91,0.13,0.9
0.26,0.92,0.13,0.9
0.26,0.93,0.13,0.9
0.26,0.9400000000000001,0.13,0.9
0.26,0.9500000000000001,0.13,0.9
0.26,0.96,0.13,0.9
0.26,0.97,0.13,0.9
0.26,0.98,0.13,0.9
0.26,0.99,0.13,0.9
0.26,1.0,0.13,0.9
0.27,0.56,0.04,0.91
0.27,0.56,0.05,0.91
0.27,0.56,0.06,0.91
0.27,0.56,0.07,0.91
0.27,0.56,0.08,0.91
0.27,0.56,0.09,0.91
0.27,0.56,0.1,0.91
0.27,0.56,0.11,0.91
0.27,0.56,0.12,0.91
0.27,0.56,0.13,0.9
0.27,0.56,0.13,0.91
0.27,0.56,0.14,0.9
0.27,0.56,0.14,0.91
0.27,0.56,0.15,0.9
0.27,0.56,0.15,0.91
0.27,0.56,0.16,0.9
0.27,0.56,0.16,0.91
0.27,0.56,0.17,0.9
0.27,0.56,0.17,0.91
0.27,0.56,0.18,0.9
0.27,0.56,0.18,0.91
0.27,0.56,0.19,0.9
0.27,0.56,0.19,0.91
0.27,0.56,0.2,0.9
0.27,0.56,0.2,0.91
0.27,0.56,0.21,0.9
0.27,0.56,0.21,0.91
0.27,0.56,0.22,0.9
0.27,0.56,0.22,0.91
0.27,0.56,0.23,0.9
0.27,0.56,0.23,0.91
0.27,0.56,0.24,0.91
0.27,0.56,0.25,0.91
0.27,0.5700000000000001,0.13,0.9
0.27,0.58,0.13,0.9
0.27,0.59,0.13,0.9
0.27,0.6,0.13,0.9
0.27,0.61,0.13,0.9
0.27,0.62,0.13,0.9
0.27,0.63,0.13,0.9
0.27,0.64,0.13,0.9
0.27,0.65,0.13,0.9
0.27,0.66,0.13,0.9
0.27,0.67,0.13,0.9
0.27,0.68,0.13,0.9
0.27,0.6900000000000001,0.13,0.9
0.27,0.7000000000000001,0.13,0.9
0.27,0.71,0.13,0.9
0.27,0.72,0.13,0.9
0.27,0.73,0.13,0.9
0.27,0.74,0.13,0.9
0.27,0.75,0.13,0.9
0.27,0.76,0.13,0.9
0.27,0.77,0.13,0.9
0.27,0.78,0.13,0.9
0.27,0.79,0.13,0.9
0.27,0.8,0.13,0.9
0.27,0.81,0.13,0.9
0.27,0.8200000000000001,0.13,0.9
0.27,0.8300000000000001,0.13,0.9
0.27,0.84,0.13,0.9
0.27,0.85,0.13,0.9
0.27,0.86,0.13,0.9
0.27,0.87,0.13,0.9
0.27,0.88,0.13,0.9
0.27,0.89,0.13,0.9
0.27,0.9,0.13,0.9
0.27,0.91,0.13,0.9
0.27,0.92,0.13,0.9
0.27,0.93,0.13,0.9
0.27,0.9400000000000001,0.13,0.9
0.27,0.9500000000000001,0.13,0.9
0.27,0.96,0.13,0.9
0.27,0.97,0.13,0.9
0.27,0.98,0.13,0.9
0.27,0.99,0.13,0.9
0.27,1.0,0.13,0.9
0.28,0.55,0.04,0.91
0.28,0.55,0.05,0.91
0.28,0.55,0.06,0.91
0.28,0.55,0.07,0.91
0.28,0.55,0.08,0.91
0.28,0.55,0.09,0.91
0.28,0.55,0.1,0.91
0.28,0.55,0.11,0.91
0.28,0.55,0.12,0.91
0.28,0.55,0.13,0.9
0.28,0.55,0.13,0.91
0.28,0.55,0.14,0.9
0.28,0.55,0.14,0.91
0.28,0.55,0.15,0.9
0.28,0.55,0.15,0.91
0.28,0.55,0.16,0.9
0.28,0.55,0.16,0.91
0.28,0.55,0.17,0.9
0.28,0.55,0.17,0.91
0.28,0.55,0.18,0.9
0.28,0.55,0.18,0.91
0.28,0.55,0.19,0.9
0.28,0.55,0.19,0.91
0.28,0.55,0.2,0.9
0.28,0.55,0.2,0.91
0.28,0.55,0.21,0.9
0.28,0.55,0.21,0.91
0.28,0.55,0.22,0.9
0.28,0.55,0.22,0.91
0.28,0.55,0.23,0.91
0.28,0.55,0.24,0.91
0.28,0.55,0.25,0.91
0.28,0.56,0.13,0.9
0.28,0.5700000000000001,0.13,0.9
0.28,0.58,0.13,0.9
0.28,0.59,0.13,0.9
0.28,0.6,0.13,0.9
0.28,0.61,0.13,0.9
0.28,0.62,0.13,0.9
0.28,0.63,0.13,0.9
0.28,0.64,0.13,0.9
0.28,0.65,0.13,0.9
0.28,0.66,0.13,0.9
0.28,0.67,0.13,0.9
0.28,0.68,0.13,0.9
0.28,0.6900000000000001,0.13,0.9
0.28,0.7000000000000001,0.13,0.9
0.28,0.71,0.13,0.9
0.28,0.72,0.13,0.9
0.28,0.73,0.13,0.9
0.28,0.74,0.13,0.9
0.28,0.75,0.13,0.9
0.28,0.76,0.13,0.9
0.28,0.77,0.13,0.9
0.28,0.78,0.13,0.9
0.28,0.79,0.13,0.9
0.28,0.8,0.13,0.9
0.28,0.81,0.13,0.9
0.28,0.8200000000000001,0.13,0.9
0.28,0.8300000000000001,0.13,0.9
0.28,0.84,0.13,0.9
0.28,0.85,0.13,0.9
0.28,0.86,0.13,0.9
0.28,0.87,0.13,0.9
0.28,0.88,0.13,0.9
0.28,0.89,0.13,0.9
0.28,0.9,0.13,0.9
0.28,0.91,0.13,0.9
0.28,0.92,0.13,0.9
0.28,0.93,0.13,0.9
0.28,0.9400000000000001,0.13,0.9
0.28,0.9500000000000001,0.13,0.9
0.28,0.96,0.13,0.9
0.28,0.97,0.13,0.9
0.28,0.98,0.13,0.9
0.28,0.99,0.13,0.9
0.28,1.0,0.13,0.9
0.29,0.54,0.04,0.91
0.29,0.54,0.05,0.91
0.29,0.54,0.06,0.91
0.29,0.54,0.07,0.91
0.29,0.54,0.08,0.91
0.29,0.54,0.09,0.91
0.29,0.54,0.1,0.91
0.29,0.54,0.11,0.91
0.29,0.54,0.12,0.91
0.29,0.54,0.13,0.9
0.29,0.54,0.13,0.91
0.29,0.54,0.14,0.9
0.29,0.54,0.14,0.91
0.29,0.54,0.15,0.9
0.29,0.54,0.15,0.91
0.29,0.54,0.16,0.9
0.29,0.54,0.16,0.91
0.29,0.54,0.17,0.9
0.29,0.54,0.17,0.91
0.29,0.54,0.18,0.9
0.29,0.54,0.18,0.91
0.29,0.54,0.19,0.9
0.29,0.54,0.19,0.91
0.29,0.54,0.2,0.9
0.29,0.54,0.2,0.91
0.29,0.54,0.21,0.9
0.29,0.54,0.21,0.91
