Agent,Subset,Preference Class
"('B', 1)","(('A', 1), ('A', 2), ('B', 1))","[(('B', 1), 0), (('B', 1), ('A', 1)), (('B', 1), ('A', 2)), (('B', 1), ('B', 1))]"
"('B', 1)","(('A', 1), ('A', 2), ('B', 2))","[(('B', 1), 0), (('B', 1), ('A', 1)), (('B', 1), ('A', 2)), (('B', 1), ('B', 2))]"
"('B', 1)","(('A', 1), ('B', 1), ('B', 2))","[(('B', 1), 0), (('B', 1), ('A', 1)), (('B', 1), ('B', 1)), (('B', 1), ('B', 2))]"
"('B', 1)","(('A', 2), ('B', 1), ('B', 2))","[(('B', 1), 0), (('B', 1), ('A', 2)), (('B', 1), ('B', 1)), (('B', 1), ('B', 2))]"
"('B', 1)","(('A', 1), ('A', 2), ('B', 1), ('B', 2))","[(('B', 1), 0), (('B', 1), ('A', 1)), (('B', 1), ('A', 2)), (('B', 1), ('B', 1)), (('B', 1), ('B', 2))]"
"('B', 2)",(),"[(('B', 2), 0)]"
"('B', 2)","(('A', 1),)","[(('B', 2), 0), (('B', 2), ('A', 1))]"
"('B', 2)","(('A', 2),)","[(('B', 2), 0), (('B', 2), ('A', 2))]"
"('B', 2)","(('B', 1),)","[(('B', 2), 0), (('B', 2), ('B', 1))]"
"('B', 2)","(('B', 2),)","[(('B', 2), 0), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 1), ('A', 2))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('A', 2))]"
"('B', 2)","(('A', 1), ('B', 1))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('B', 1))]"
"('B', 2)","(('A', 1), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 2), ('B', 1))","[(('B', 2), 0), (('B', 2), ('A', 2)), (('B', 2), ('B', 1))]"
"('B', 2)","(('A', 2), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 2)), (('B', 2), ('B', 2))]"
"('B', 2)","(('B', 1), ('B', 2))","[(('B', 2), 0), (('B', 2), ('B', 1)), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 1), ('A', 2), ('B', 1))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('A', 2)), (('B', 2), ('B', 1))]"
"('B', 2)","(('A', 1), ('A', 2), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('A', 2)), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 1), ('B', 1), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('B', 1)), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 2), ('B', 1), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 2)), (('B', 2), ('B', 1)), (('B', 2), ('B', 2))]"
"('B', 2)","(('A', 1), ('A', 2), ('B', 1), ('B', 2))","[(('B', 2), 0), (('B', 2), ('A', 1)), (('B', 2), ('A', 2)), (('B', 2), ('B', 1)), (('B', 2), ('B', 2))]"
