,201728384,201728896,201729025,201730946,201728772,201730564,201729932,201729165,201714322,201730073,201712026,201729946,201730467,201728164,201729830,201729064,201532590,201632687,201729208,201730105,201731005,201728190,201729346,201731066,201631050,201731786,201730646,201728089,201715418,201730265,201531484,201729374,201729506,201729767,201729640,201729896,201731054,201631347,201729267,201730426
201730073,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
201712026,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.4,0.6,0.4,0.0,0.6,0.6,0.8,0.8,0.6,0.4,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.6,0.8,0.8
201729946,0.47368421052631576,0.5,0.5625,0.4,0.5625,0.47368421052631576,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.4,0.6,0.0,0.631578947368421,0.5,0.6,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.47368421052631576,0.6,0.47368421052631576,0.47368421052631576,0.5,0.35294117647058826,0.3157894736842105,0.5625,0.47368421052631576,0.6,0.6,0.47368421052631576,0.3333333333333333,0.47368421052631576,0.5,0.47368421052631576,0.3333333333333333,0.5882352941176471,0.631578947368421,0.6666666666666666,0.5,0.47368421052631576
201730467,0.47368421052631576,0.5,0.5625,0.4,0.5625,0.5263157894736842,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.4,0.6,0.631578947368421,0.0,0.5,0.6,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.47368421052631576,0.6,0.47368421052631576,0.47368421052631576,0.5,0.4117647058823529,0.3157894736842105,0.5625,0.5263157894736842,0.6,0.6,0.47368421052631576,0.3333333333333333,0.47368421052631576,0.5,0.47368421052631576,0.3333333333333333,0.5294117647058824,0.631578947368421,0.8333333333333334,0.5,0.47368421052631576
201728164,0.6666666666666666,0.8333333333333334,0.75,0.6,0.75,0.6666666666666666,0.5,0.3333333333333333,0.5,0.4,0.8,0.5,0.5,0.0,0.8,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.5294117647058824,0.3333333333333333,0.75,0.6666666666666666,0.4,0.8,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7058823529411765,0.5,0.5,0.6666666666666666,0.6666666666666666
201729830,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.4,0.6,0.4,0.8,0.6,0.6,0.8,0.0,0.6,0.4,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.6,0.8,1.0
201729064,0.5,0.5,0.5625,0.8,0.5625,0.5,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6,0.3333333333333333,0.3333333333333333,0.5,0.6,0.0,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.7058823529411765,0.5,0.5625,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5294117647058824,0.3333333333333333,0.3333333333333333,0.5,0.5
201532590,0.3333333333333333,0.3333333333333333,0.375,0.6,0.375,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.5,0.3333333333333333,0.5294117647058824,0.6666666666666666,0.375,0.3333333333333333,0.6,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
201632687,0.3157894736842105,0.3333333333333333,0.375,0.6,0.375,0.3157894736842105,0.5,0.47368421052631576,0.3333333333333333,0.4,0.4,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.4,0.5,0.6666666666666666,0.0,0.3157894736842105,0.4,0.3157894736842105,0.47368421052631576,0.3333333333333333,0.5294117647058824,0.631578947368421,0.375,0.3157894736842105,0.6,0.4,0.3157894736842105,1.0,0.3157894736842105,0.5,0.3157894736842105,0.6666666666666666,0.35294117647058826,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.3157894736842105
201729208,0.6,0.6666666666666666,0.75,0.6,0.75,0.6,0.6666666666666666,0.35,0.6666666666666666,0.4,0.8,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3157894736842105,0.0,0.8,0.631578947368421,0.3,0.6666666666666666,0.5294117647058824,0.3157894736842105,0.75,0.6,0.4,0.8,0.631578947368421,0.3333333333333333,0.6,0.6666666666666666,0.6,0.3333333333333333,0.7058823529411765,0.47368421052631576,0.5,0.8333333333333334,0.631578947368421
201730105,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.4,0.6,0.4,0.8,0.6,0.6,0.8,0.8,0.6,0.4,0.4,0.8,0.0,0.8,0.4,0.8,0.6,0.4,1.0,0.8,0.4,0.8,0.8,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.6,0.8,0.8
201731005,0.631578947368421,0.8333333333333334,0.75,0.6,0.75,0.631578947368421,0.5,0.3157894736842105,0.5,0.4,0.8,0.47368421052631576,0.47368421052631576,0.8333333333333334,0.8,0.5,0.3333333333333333,0.3157894736842105,0.631578947368421,0.8,0.0,0.3157894736842105,0.6666666666666666,0.5294117647058824,0.3157894736842105,0.75,0.631578947368421,0.4,0.8,0.631578947368421,0.3333333333333333,0.631578947368421,0.6666666666666666,0.631578947368421,0.3333333333333333,0.7058823529411765,0.47368421052631576,0.5,0.6666666666666666,0.631578947368421
201728190,0.3,0.3333333333333333,0.375,0.6,0.375,0.3,0.5,0.3,0.3333333333333333,0.4,0.4,0.47368421052631576,0.47368421052631576,0.3333333333333333,0.4,0.5,0.5,0.47368421052631576,0.3,0.4,0.3157894736842105,0.0,0.3333333333333333,0.5294117647058824,0.47368421052631576,0.375,0.3,0.8,0.4,0.3157894736842105,0.5,0.3,0.3333333333333333,0.3,0.5,0.35294117647058826,0.47368421052631576,0.5,0.3333333333333333,0.3157894736842105
201729346,0.6666666666666666,0.6666666666666666,0.75,0.6,0.75,0.6666666666666666,0.5,0.3333333333333333,0.5,0.4,0.8,0.5,0.5,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.3333333333333333,0.0,0.5294117647058824,0.3333333333333333,0.75,0.6666666666666666,0.4,0.8,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8823529411764706,0.5,0.5,0.6666666666666666,0.6666666666666666
201731066,0.5294117647058824,0.5294117647058824,0.5625,1.0,0.75,0.7647058823529411,0.7058823529411765,0.35294117647058826,0.5294117647058824,0.4,0.6,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.6,0.7058823529411765,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5625,0.8235294117647058,0.6,0.6,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.7058823529411765,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.5294117647058824
201631050,0.3157894736842105,0.3333333333333333,0.375,0.6,0.375,0.3157894736842105,0.5,0.3157894736842105,0.5,0.4,0.4,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.4,0.5,0.6666666666666666,0.631578947368421,0.3157894736842105,0.4,0.3157894736842105,0.47368421052631576,0.3333333333333333,0.5294117647058824,0.0,0.375,0.3157894736842105,0.6,0.4,0.3157894736842105,0.6666666666666666,0.3157894736842105,0.3333333333333333,0.3157894736842105,0.6666666666666666,0.35294117647058826,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.3157894736842105
201731786,0.75,0.75,0.75,0.6,0.75,0.75,0.5625,0.375,0.5625,0.4,0.8,0.5625,0.5625,0.75,0.8,0.5625,0.375,0.375,0.75,1.0,0.75,0.375,0.75,0.5625,0.375,0.0,0.75,0.4,0.8,0.75,0.375,0.75,0.75,0.75,0.375,0.75,0.5625,0.5625,0.75,0.75
201730646,0.6,0.6666666666666666,0.75,0.8,0.9375,0.8,0.5,0.3,0.5,0.4,0.8,0.47368421052631576,0.5263157894736842,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3157894736842105,0.6,0.8,0.631578947368421,0.3,0.6666666666666666,0.8235294117647058,0.3157894736842105,0.75,0.0,0.4,0.8,0.631578947368421,0.3333333333333333,0.6,0.6666666666666666,0.6,0.5,0.7058823529411765,0.47368421052631576,0.5,0.6666666666666666,0.631578947368421
201728089,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.8,0.4,0.6,0.6,0.4,0.4,0.0,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.6,0.6,0.4,0.4
201715418,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.6,0.6,0.4,0.8,0.6,0.6,0.8,0.8,0.6,0.4,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.8,0.8,0.4,0.0,0.8,0.4,0.8,0.8,0.8,0.4,0.8,0.6,0.6,0.8,0.8
201730265,0.631578947368421,0.6666666666666666,0.75,0.6,0.75,0.631578947368421,0.5,0.3157894736842105,0.5,0.4,0.8,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3157894736842105,0.631578947368421,0.8,0.631578947368421,0.3157894736842105,1.0,0.5294117647058824,0.3157894736842105,0.75,0.631578947368421,0.4,0.8,0.0,0.3333333333333333,0.631578947368421,0.6666666666666666,0.631578947368421,0.3333333333333333,0.8823529411764706,0.47368421052631576,0.5,0.6666666666666666,0.631578947368421
201531484,0.3333333333333333,0.3333333333333333,0.375,0.6,0.375,0.3333333333333333,0.5,0.5,0.3333333333333333,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,1.0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.3333333333333333,0.5294117647058824,0.6666666666666666,0.375,0.3333333333333333,0.6,0.4,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
201729374,0.6,0.6666666666666666,0.75,0.6,0.75,0.6,0.5,0.3,0.5,0.4,0.8,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3157894736842105,0.6,0.8,0.631578947368421,0.3,0.6666666666666666,0.5294117647058824,0.3157894736842105,0.75,0.6,0.4,0.8,0.631578947368421,0.3333333333333333,0.0,0.6666666666666666,0.6,0.3333333333333333,0.7058823529411765,0.47368421052631576,0.5,0.6666666666666666,0.631578947368421
201729506,0.6666666666666666,0.6666666666666666,0.75,0.6,0.75,0.6666666666666666,0.5,0.5,0.5,0.4,0.8,0.5,0.5,0.6666666666666666,0.8,0.5,0.3333333333333333,0.5,0.6666666666666666,0.8,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5294117647058824,0.3333333333333333,0.75,0.6666666666666666,0.4,0.8,0.6666666666666666,0.5,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.7058823529411765,0.5,0.5,0.6666666666666666,0.6666666666666666
201729767,0.6,0.6666666666666666,0.75,0.6,0.75,0.6,0.5,0.3,0.5,0.4,0.8,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3157894736842105,0.6,0.8,0.631578947368421,0.3,0.6666666666666666,0.5294117647058824,0.3157894736842105,0.75,0.6,0.4,0.8,0.631578947368421,0.3333333333333333,0.6,0.6666666666666666,0.0,0.3333333333333333,0.7058823529411765,0.47368421052631576,0.5,0.6666666666666666,0.631578947368421
201729640,0.3333333333333333,0.3333333333333333,0.375,0.8,0.5625,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.5,0.3333333333333333,0.7058823529411765,0.6666666666666666,0.375,0.5,0.6,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
201729896,0.7058823529411765,0.7058823529411765,0.75,0.6,0.75,0.7058823529411765,0.5294117647058824,0.35294117647058826,0.5294117647058824,0.4,0.8,0.5882352941176471,0.5294117647058824,0.7058823529411765,0.8,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.7058823529411765,0.8,0.7058823529411765,0.35294117647058826,0.8823529411764706,0.5294117647058824,0.35294117647058826,0.75,0.7058823529411765,0.4,0.8,0.8823529411764706,0.35294117647058826,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.35294117647058826,0.0,0.5294117647058824,0.5294117647058824,0.7058823529411765,0.7058823529411765
201731054,0.47368421052631576,0.5,0.5625,0.4,0.5625,0.47368421052631576,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.4,0.6,0.631578947368421,0.631578947368421,0.5,0.6,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.47368421052631576,0.6,0.47368421052631576,0.47368421052631576,0.5,0.35294117647058826,0.3157894736842105,0.5625,0.47368421052631576,0.6,0.6,0.47368421052631576,0.3333333333333333,0.47368421052631576,0.5,0.47368421052631576,0.3333333333333333,0.5294117647058824,0.0,0.6666666666666666,0.5,0.47368421052631576
201631347,0.5,0.5,0.5625,0.4,0.5625,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.6,0.6666666666666666,0.8333333333333334,0.5,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5,0.5,0.5,0.35294117647058826,0.3333333333333333,0.5625,0.5,0.6,0.6,0.5,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.5294117647058824,0.6666666666666666,0.0,0.5,0.5
201729267,0.6666666666666666,0.6666666666666666,0.75,0.6,0.75,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4,0.8,0.5,0.5,0.6666666666666666,0.8,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5294117647058824,0.3333333333333333,0.75,0.6666666666666666,0.4,0.8,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7058823529411765,0.5,0.5,0.0,0.6666666666666666
201730426,0.631578947368421,0.6666666666666666,0.75,0.6,0.75,0.631578947368421,0.5,0.3157894736842105,0.5,0.4,0.8,0.47368421052631576,0.47368421052631576,0.6666666666666666,1.0,0.5,0.3333333333333333,0.3157894736842105,0.631578947368421,0.8,0.631578947368421,0.3157894736842105,0.6666666666666666,0.5294117647058824,0.3157894736842105,0.75,0.631578947368421,0.4,0.8,0.631578947368421,0.3333333333333333,0.631578947368421,0.6666666666666666,0.631578947368421,0.3333333333333333,0.7058823529411765,0.47368421052631576,0.5,0.6666666666666666,0.0
